id,name,address,city,state,lat,lon,price_per_gallon
10058,CITGO,US-431/SR-1 & SR-27,Abbeville,AL,31.55036,-85.26816,3.399
71578,RACETRAC #2595,I-65 EXIT 284,Alabaster,AL,33.229429,-86.813851,2.999
64581,SNEAD SHELL,US-278 & SR-75,Altoona,AL,34.09726,-86.239843,3.109
68282,SUNSTOP #612,US-84,Andalusia,AL,31.26427,-86.505956,3.4857
60084,SUNSTOP #625,US-84,Ashford,AL,31.169333,-85.284857,3.599
68476,CREEK TRAVEL PLAZA,"I-65, EXIT 54",Atmore,AL,31.039123,-87.472886,3.1357
66472,DIAMOND #21,"I-65, EXIT 54",Atmore,AL,31.081134,-87.509654,3.259
66648,CHEVRON,"I-20, EXIT 113",Bessemer,AL,33.407342,-86.923659,3.099
1621,CIRCLE K #2709337,"I-65, EXIT 262B",Birmingham,AL,33.486899,-86.819642,3.489
66399,CIRCLE K #2723672,"I-59/I-20, EXIT 128",Birmingham,AL,33.511433,-86.82722,3.699
66036,FLYING J TRAVEL PLAZA #602,"I-65, EXIT 264",Birmingham,AL,33.512066,-86.786531,3.559
4533,SPEEDWAY #1449,"I-65, EXIT 262B",Birmingham,AL,33.531354,-86.840047,2.9757
63828,CIRCLE K #2723654,US-431,Boaz,AL,34.120621,-86.173048,3.519
66640,Kent Kwik #928,US-82/SR-6 & SR-5/SR-25,Brent,AL,32.974115,-87.248195,3.099
64706,CIRCLE K #2721571,"I-65, EXIT 69",Brewton,AL,31.100179,-87.064207,3.399
67965,DIAMOND #7,"I-65, EXIT 69",Brewton,AL,31.164891,-87.129318,3.399
64545,HOBO PANTRY #24,US-231 & SR-10,Brundidge,AL,31.688653,-85.832774,3.599
63829,CALERA CHEVRON,SR-25,Calera,AL,33.098778,-86.738616,3.199
71628,QUIKTRIP #7171,I-65 EXIT 231,Calera,AL,33.104322,-86.716334,2.999
64546,GRUB MART #13,"I-59, EXIT 205 & US-411/SR-25/SR-68",Centre,AL,34.135557,-85.569363,3.349
66846,CIRCLE K #2723664,US-280,Childersburg,AL,33.241268,-86.348968,3.899
4927,CIRCLE K #2704886,"I-65, EXIT 205 & US-31/SR-22",Clanton,AL,32.800963,-86.647123,3.2073
64592,LOVES TRAVEL STOP #368,"I-65, EXIT 208 & CR-28",Clanton,AL,32.856952,-86.662583,3.3373
64092,ONE9 #4555,"I-20/I-59, EXIT 77",Cottondale,AL,33.149296,-87.347355,2.9323
71523,QUIKTRIP #7170,I-59 EXIT 77,Cottondale,AL,33.184991,-87.362907,2.9157
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,33.181161,-87.369627,2.964
66410,SIBLEY FOOD FUEL,US-72/SR-20 & CR-150,Courtland,AL,34.679336,-87.315161,3.399
72563,RACEWAY #6991,I-65 Exit 19 & US-43,Creola,AL,30.876058,-87.996397,2.949
6701,JACKS TRUCK STOP,"I-65, EXIT 304 & SR-69",Cullman,AL,34.163486,-86.841457,3.999
69153,Pilot Travel Center #1550,"I-65, EXIT 304 & SR-69/CR-437",Cullman,AL,34.166619,-86.844069,3.859
7492,Mobil dba One9 #1365,"I-85, EXIT 70",Cusseta,AL,32.822319,-85.297531,2.999
67804,SUNSTOP #616,US-84/SR-134 & CR-1,Daleville,AL,31.275963,-85.720415,3.399
60106,SUNSTOP #619,US-84,Daleville,AL,31.241202,-85.739625,3.399
70122,Circle K #2709301,SR-67,Decatur,AL,34.625081,-87.028022,3.899
70420,Circle K #2709302,SR-67,Decatur,AL,34.565044,-87.014863,3.5073
63523,PILOT TRAVEL CENTER #441,"I-65, EXIT 334",Decatur,AL,34.58803,-86.983049,3.859
71631,RACEWAY #6891,SR-20 & SR-67,Decatur,AL,34.568377,-86.955006,3.099
71056,SPEEDWAY #1044,US-72 & SR-20,Decatur,AL,34.592609,-86.966584,3.4257
72647,RACEWAY #6972,US-83 & US-43,Demopolis,AL,32.486238,-87.824182,3.0773
66845,CIRCLE K #2723643,SR-431,Dothan,AL,31.153319,-85.33925,3.5823
67040,FLYING J TRAVEL PLAZA #603,US-431/SR-210 & US-231/SR-1,Dothan,AL,31.170075,-85.351213,3.999
3096,HOBO PANTRY #6,US-431/SR-210,Dothan,AL,31.1302,-85.3486,3.959
72885,RACEWAY #6960,US-431 & Westgate PKWY,Dothan,AL,31.146704,-85.40011,3.199
64712,SUNSTOP #650,US-431 & SR-210,Dothan,AL,31.146924,-85.3768,3.4123
72219,QUICK FILL,US-78/SR-4,Eastaboga,AL,33.596834,-85.949755,3.099
64713,GOOD TO GO,"I-65, EXIT 200",Enterprise,AL,31.324377,-85.826337,3.599
60114,SUNSTOP #606,US-84/SR-167,Enterprise,AL,31.359407,-85.804572,3.699
70581,LOVES TRAVEL STOP #773,"SR-14 & I-59/20, EXIT 40",Eutaw,AL,32.919262,-87.948839,3.1373
66780,DIAMOND #20,"I-65, EXIT 93 & SR-84",Evergreen,AL,31.445736,-86.930291,3.399
